participant_id,session_id,set_id,image_id,version,source,n_points,n_on_image,n_off_image,archivo
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,semantic_aware,COCO,50,47,3,Brig\COCO_000000574845__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,semantic_agnostic,COCO,142,141,1,Brig\COCO_000000574845__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,original,COCO,75,73,2,Brig\COCO_000000574845__original.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,pix2pix_magicbrush,COCO,29,29,0,Brig\COCO_000000574845__pix2pix_magicbrush.json
Brig,exp_Brig_20260605_121737,set_024,ADE_00011244,semantic_agnostic,ADE,63,63,0,Brig\ADE_00011244__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_024,ADE_00011244,original,ADE,98,96,2,Brig\ADE_00011244__original.json
Brig,exp_Brig_20260605_121737,set_033,ADE_00018106,semantic_aware,ADE,41,34,7,Brig\ADE_00018106__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_033,ADE_00018106,semantic_agnostic,ADE,37,37,0,Brig\ADE_00018106__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_033,ADE_00018106,pix2pix_magicbrush,ADE,40,40,0,Brig\ADE_00018106__pix2pix_magicbrush.json
Brig,exp_Brig_20260605_121737,set_026,ADE_00016863,semantic_agnostic,ADE,99,97,2,Brig\ADE_00016863__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_048,COCO_000000102210,semantic_agnostic,COCO,82,73,9,Brig\COCO_000000102210__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_048,COCO_000000102210,semantic_aware,COCO,40,36,4,Brig\COCO_000000102210__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_022,ADE_00010634,pix2pix_magicbrush,ADE,22,22,0,Brig\ADE_00010634__pix2pix_magicbrush.json
Brig,exp_Brig_20260605_121737,set_057,COCO_000000270211,semantic_aware,COCO,25,25,0,Brig\COCO_000000270211__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_082,LHQ_0032470,semantic_aware,LHQ,56,56,0,Brig\LHQ_0032470__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_016,ADE_00008672,semantic_aware,ADE,21,20,1,Brig\ADE_00008672__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_053,COCO_000000201770,semantic_agnostic,COCO,68,68,0,Brig\COCO_000000201770__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_053,COCO_000000201770,original,COCO,25,25,0,Brig\COCO_000000201770__original.json
