participant_id,session_id,set_id,image_id,version,source,n_points,n_on_image,n_off_image,archivo
B,exp_B_20260605_133856,set_051,COCO_000000162589,semantic_agnostic,COCO,12,5,7,B\COCO_000000162589__semantic_agnostic.json
B,exp_B_20260605_133856,set_009,ADE_00004217,semantic_agnostic,ADE,12,12,0,B\ADE_00004217__semantic_agnostic.json
B,exp_B_20260605_133856,set_066,COCO_000000511002,semantic_agnostic,COCO,20,20,0,B\COCO_000000511002__semantic_agnostic.json
B,exp_B_20260605_133856,set_066,COCO_000000511002,original,COCO,10,10,0,B\COCO_000000511002__original.json
B,exp_B_20260605_133856,set_069,COCO_000000567093,original,COCO,7,7,0,B\COCO_000000567093__original.json
B,exp_B_20260605_133856,set_004,ADE_00003333,semantic_agnostic,ADE,23,21,2,B\ADE_00003333__semantic_agnostic.json
B,exp_B_20260605_133856,set_004,ADE_00003333,original,ADE,10,9,1,B\ADE_00003333__original.json
B,exp_B_20260605_133856,set_024,ADE_00011244,semantic_agnostic,ADE,11,11,0,B\ADE_00011244__semantic_agnostic.json
B,exp_B_20260605_133856,set_046,COCO_000000087593,original,COCO,8,8,0,B\COCO_000000087593__original.json
B,exp_B_20260605_133856,set_014,ADE_00007141,semantic_agnostic,ADE,12,12,0,B\ADE_00007141__semantic_agnostic.json
B,exp_B_20260605_133856,set_056,COCO_000000237390,original,COCO,11,11,0,B\COCO_000000237390__original.json
B,exp_B_20260605_133856,set_035,ADE_00019754,original,ADE,7,7,0,B\ADE_00019754__original.json
Bri,exp_Bri_20260604_203013,set_069,COCO_000000567093,original,COCO,37,37,0,Bri\COCO_000000567093__original.json
Bri,exp_Bri_20260604_203013,set_031,ADE_00017634,pix2pix_magicbrush,ADE,16,15,1,Bri\ADE_00017634__pix2pix_magicbrush.json
Bri,exp_Bri_20260604_203013,set_094,LHQ_0075457,original,LHQ,15,15,0,Bri\LHQ_0075457__original.json
Bri,exp_Bri_20260604_203013,set_053,COCO_000000201770,semantic_agnostic,COCO,21,13,8,Bri\COCO_000000201770__semantic_agnostic.json
Bri,exp_Bri_20260604_203013,set_016,ADE_00008672,original,ADE,27,25,2,Bri\ADE_00008672__original.json
Bri,exp_Bri_20260604_203013,set_008,ADE_00004113,semantic_agnostic,ADE,17,17,0,Bri\ADE_00004113__semantic_agnostic.json
Bri,exp_Bri_20260604_203013,set_071,LHQ_0000046,original,LHQ,21,19,2,Bri\LHQ_0000046__original.json
Bri,exp_Bri_20260604_203013,set_068,COCO_000000545849,semantic_aware,COCO,20,20,0,Bri\COCO_000000545849__semantic_aware.json
Bri,exp_Bri_20260604_203013,set_100,LHQ_0086923,semantic_agnostic,LHQ,19,19,0,Bri\LHQ_0086923__semantic_agnostic.json
Bri,exp_Bri_20260604_203013,set_054,COCO_000000226383,pix2pix_magicbrush,COCO,22,19,3,Bri\COCO_000000226383__pix2pix_magicbrush.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,semantic_aware,COCO,50,47,3,Brig\COCO_000000574845__semantic_aware.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,semantic_agnostic,COCO,142,141,1,Brig\COCO_000000574845__semantic_agnostic.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,original,COCO,75,73,2,Brig\COCO_000000574845__original.json
Brig,exp_Brig_20260605_121737,set_070,COCO_000000574845,pix2pix_magicbrush,COCO,29,29,0,Brig\COCO_000000574845__pix2pix_magicbrush.json
Brig,exp_Brig_20260605_121737,set_024,ADE_00011244,semantic_agnostic,ADE,63,63,0,Brig\ADE_00011244__semantic_agnostic.json
